VIDEO TITLE,year,X PERCH1,X PERCH2,X PERCH3,X PERCH4,X PERCH5,X PERCH6,X PERCH7,X PERCH8,perch1P,perch2P,perch3P,perch4P,perch5P, perch6P, perch7P, perch8P, perch1M, perch2M, perch3M, perch4M, perch5M, perch6M, perch7M, perch8M
CAGE_280621_HA70372_mirror_IB,2021,NA,NA,NA,755,655,480,427,221,#ARVO!,#ARVO!,#ARVO!,805,705,530,477,271,#ARVO!,#ARVO!,#ARVO!,705,605,430,377,171
CAGE_280621_HB45047_mirror_IB,2021,NA,NA,NA,764,664,490,436,236,#ARVO!,#ARVO!,#ARVO!,814,714,540,486,286,#ARVO!,#ARVO!,#ARVO!,714,614,440,386,186
CAGE_300621_HA70352_mirror_IB,2021,NA,NA,NA,727,623,420,377,133,#ARVO!,#ARVO!,#ARVO!,777,673,470,427,183,#ARVO!,#ARVO!,#ARVO!,677,573,370,327,83
HA70250_180621_21JJ11_mirror_IB,2021,NA,NA,NA,759,639,408,350,103,#ARVO!,#ARVO!,#ARVO!,809,689,458,400,153,#ARVO!,#ARVO!,#ARVO!,709,589,358,300,53
HB45020_010721_21OW3_mirror_IB,2021,NA,NA,NA,525,NA,303,256,NA,#ARVO!,#ARVO!,#ARVO!,575,#ARVO!,353,306,#ARVO!,#ARVO!,#ARVO!,#ARVO!,475,#ARVO!,253,206,#ARVO!
HB45041_210621_21EK6_mirror_IB,2021,NA,NA,NA,750,636,491,405,208,#ARVO!,#ARVO!,#ARVO!,800,686,541,455,258,#ARVO!,#ARVO!,#ARVO!,700,586,441,355,158
HE21001_08062021_21EK4_mirror_IB,2021,NA,NA,NA,818,703,561,475,285,#ARVO!,#ARVO!,#ARVO!,868,753,611,525,335,#ARVO!,#ARVO!,#ARVO!,768,653,511,425,235
HE21301_08062021_21EK4_mirror_IB,2021,NA,NA,NA,704,594,407,335,117,#ARVO!,#ARVO!,#ARVO!,754,644,457,385,167,#ARVO!,#ARVO!,#ARVO!,654,544,357,285,67
HE21302_090621_21KR3_mirror_IB,2021,NA,NA,NA,659,554,378,313,82,#ARVO!,#ARVO!,#ARVO!,709,604,428,363,132,#ARVO!,#ARVO!,#ARVO!,609,504,328,263,32
HE21303_090621_21KR3_mirror_IB,2021,NA,NA,NA,777,660,533,440,254,#ARVO!,#ARVO!,#ARVO!,827,710,583,490,304,#ARVO!,#ARVO!,#ARVO!,727,610,483,390,204
HE21304_100621_21KR8_mirror_IB,2021,NA,NA,NA,762,648,520,431,238,#ARVO!,#ARVO!,#ARVO!,812,698,570,481,288,#ARVO!,#ARVO!,#ARVO!,712,598,470,381,188
