Ringnr|NestID|Location|Total_time|perch1|perch2|perch3|perch4|perch5|5perches|Bottom|Middle|Top|T_new|T_home|ground|latency|Explored|move_home|movement|Mov_sum
HA70355|21DT10||600.273|0|470.524|7.302|77.305|10.373|NA|0|0|600.272|565.51|34.763|0|34.761|y|2|7|9
HA70356|21JJ2||600.916|0|0|0|0|0|NA|0|0|599.787|0|600.916|0|600.916|n|0|0|0
HA70356|21OW9||600.834|0|0|0|0|0|NA|0|0|600.833|0|600.834|0|600.834|n|1|0|1
HA70357|21KR13||600|0|0|0|0|0|NA|0|0|600|0|600|0|600|n|0|0|0
HA70358|21NB1||600|0|0|0|0|0|NA|0|0|600|0|600|0|600|n|0|0|0
HA70359|21NB1||600|0|0|0|0|0|NA|598.896|1.103|0|599.146|0.854|598.896|0.853|y|1|0|1
HA70360|21EK10||600|101.988|2.499|320.654|45.746|15.745|429.41|0|261.238|338.742|494.408|105.592|0|0.448|y|9|22|31
HA70361|21EK10||600|0|0|0|0|0|NA|0|0|600|0|600|0|600|n|0|0|0
HA70362|21KR16||600|0|0|0|0|0|NA|0|0|600|0|600|0|600|n|2|0|2
HA70363|21KR16||600|28.494|49.214|12.998|255.635|20.323|101.354|1.506|0|598.492|368.192|231.808|1.506|0.88|y|11|27|38
HA70364|21KR22||600.735|13.96|24.387|297.144|20.306|83.892|217.444|0|39.724|561.001|440.412|160.323|0|1.266|y|29|49|78
HA70364|21KR22||600.72|0|0|1.294|25.233|349.655|NA|0|260.382|340.319|376.188|224.532|0|0.848|y|55|27|82
HA70367|21NB2||600|0|0|0|0|0|NA|0|0|600|0|600|0|600|n|0|0|0
HA70369|21NB2||600|0|0|0|0|0|NA|0|0|600|0|600|0|600|n|0|0|0
HA70373|||NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
HA70373|||600.813|0|0|0|0|0|NA|0|NA|600.812|0|600.813|0|600.813|n|4|0|4
HA70377|21JJ20||600|39.424|2.997|142.857|0|27.493|NA|0|2.touko|597.498|279.228|320.772|0|214.438|y|26|27|53
HA70378|21EK26||600|0|0|0|0|0|NA|0|0|600|0|600|0|600|n|0|0|0
HA70382|21KR22||600|11.998|4.251|29.747|0|122.749|NA|0|0|600|168.748|431.252|0|431.251|y|4|3|7
HA70384|21KR35||600|33.915|0.506|245.034|0|3.099|NA|0|0|600|282.561|317.439|0|317.438|y|3|7|10
HA70385|21JJ20||600|0|0|251.212|3.touko|95.895|NA|0|224.389|375.61|350.611|249.389|0|249.388|y|3|4|7
HA70386|21NB15||600|0|0|0|0|0|NA|0|0|600|0|600|0|600|n|0|0|0
HA70389|21DT8||600|0|0|0|0|0|NA|0|0|600|0|600|0|600|n|0|0|0
HA70392|21JJ27||600|0|0|34.499|0|154.248|NA|0|0|600|188.749|411.251|0|411.25|y|3|2|5
HA70393|21JJ27||600|175.718|57.246|205.414|23|88.243|18.501|0|0|600|549.75|50.25|0|12.001|y|15|135|150
HA70395|21NB27||600|46.064|0|119.383|14.756|22.507|NA|23.424|48.249|528.264|262.524|337.476|22.671|90.252|y|104|83|187
HA70396|21OW9||600|41.024|20.186|142.238|20.493|336.456|57.77|0|65.966|534.008|561.947|38.053|0|0.573|y|14|56|70
HA70398|21KR45||600|0|0|0|0|0|NA|0|0|600|0|600|0|600|n|0|0|0
HA70399|21NB29||600|0|0|0|0|0|NA|0.458|1.502|598.038|0|600|0|600|n|1|0|1
HA70400|21NB29||600|62.99|41.808|98.518|77.359|85.738|124.241|6.754|35.817|557.413|366.529|233.471|6.757|26.002|y|120|158|278
HB45004|19EK15||600.932|109.763|4.165|254.823|0|3.705|NA|1.733|107.328|490.338|565.601|35.331|0|35.331|y|4|237|241
HB45007|19EK2||600.318|0|0|231.217|4.293|4.993|NA|0|2.756|597.56|240.508|359.81|0|30.144|y|3|6|9
HB45008|19EK2||601.238|0|0|0|124.321|37.834|NA|411.887|161.661|27.683|162.157|439.081|0|27.647|y|11|7|18
